id,walking_sequence_id,step_order,left_hip,left_knee,left_ankle,center_hip,center_ankle,center_foot,center_knee,right_hip,right_ankle,right_knee
171,43,7,141.0,141.0,161.0,75.0,134.0,112.0,110.0,91.0,82.0,93.0
173,43,8,171.0,141.0,136.0,90.0,134.0,100.0,110.0,61.0,107.0,93.0
174,44,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
175,44,2,116.0,111.0,121.0,121.0,134.0,95.0,145.0,116.0,122.0,123.0
176,44,3,116.0,111.0,121.0,121.0,134.0,96.0,180.0,116.0,122.0,123.0
177,44,4,126.0,126.0,121.0,121.0,134.0,96.0,180.0,106.0,122.0,108.0
178,44,5,141.0,141.0,161.0,131.0,134.0,80.0,90.0,91.0,82.0,93.0
179,44,6,141.0,141.0,161.0,45.0,134.0,112.0,40.0,91.0,82.0,93.0
180,44,7,141.0,141.0,161.0,75.0,134.0,112.0,110.0,91.0,82.0,93.0
182,44,8,161.0,141.0,136.0,90.0,134.0,100.0,110.0,71.0,107.0,93.0
183,45,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
184,45,2,116.0,111.0,121.0,121.0,134.0,95.0,145.0,116.0,122.0,123.0
185,45,3,116.0,111.0,121.0,121.0,134.0,96.0,180.0,116.0,122.0,123.0
186,45,4,126.0,126.0,121.0,121.0,134.0,96.0,180.0,106.0,122.0,108.0
187,45,5,141.0,141.0,161.0,131.0,134.0,80.0,90.0,91.0,82.0,93.0
188,45,6,141.0,141.0,161.0,45.0,134.0,112.0,40.0,91.0,82.0,93.0
189,45,7,141.0,141.0,161.0,75.0,134.0,112.0,110.0,91.0,82.0,93.0
191,45,8,161.0,141.0,126.0,90.0,134.0,100.0,150.0,71.0,117.0,93.0
192,46,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
193,46,2,116.0,111.0,121.0,121.0,134.0,95.0,145.0,116.0,122.0,123.0
194,46,3,116.0,111.0,121.0,121.0,134.0,96.0,180.0,116.0,122.0,123.0
195,46,4,126.0,126.0,121.0,121.0,134.0,96.0,180.0,106.0,122.0,108.0
196,46,5,141.0,141.0,161.0,131.0,134.0,80.0,90.0,91.0,82.0,93.0
197,46,6,141.0,141.0,161.0,45.0,134.0,112.0,40.0,91.0,82.0,93.0
198,46,7,141.0,141.0,161.0,75.0,134.0,112.0,110.0,91.0,82.0,93.0
199,46,8,161.0,141.0,126.0,90.0,134.0,100.0,150.0,71.0,117.0,93.0
200,47,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
201,46,9,131.0,141.0,121.0,115.0,134.0,100.0,155.0,101.0,122.0,93.0
202,48,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
203,48,2,116.0,111.0,121.0,121.0,134.0,95.0,145.0,116.0,122.0,123.0
204,48,3,116.0,111.0,121.0,121.0,134.0,96.0,180.0,116.0,122.0,123.0
205,48,4,126.0,126.0,121.0,121.0,134.0,96.0,180.0,106.0,122.0,108.0
206,48,5,141.0,141.0,161.0,131.0,134.0,80.0,90.0,91.0,82.0,93.0
207,48,6,141.0,141.0,161.0,45.0,134.0,112.0,40.0,91.0,82.0,93.0
208,48,7,141.0,141.0,161.0,75.0,134.0,112.0,110.0,91.0,82.0,93.0
209,48,8,161.0,141.0,126.0,90.0,134.0,100.0,150.0,71.0,117.0,93.0
211,48,9,161.0,141.0,86.0,115.0,134.0,100.0,160.0,71.0,157.0,93.0
212,49,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
213,49,2,116.0,111.0,121.0,121.0,134.0,95.0,145.0,116.0,122.0,123.0
214,49,3,116.0,111.0,121.0,121.0,134.0,96.0,180.0,116.0,122.0,123.0
215,49,4,126.0,126.0,121.0,121.0,134.0,96.0,180.0,106.0,122.0,108.0
216,49,5,141.0,141.0,161.0,131.0,134.0,80.0,90.0,91.0,82.0,93.0
217,49,6,141.0,141.0,161.0,45.0,134.0,112.0,40.0,91.0,82.0,93.0
218,49,7,141.0,141.0,161.0,75.0,134.0,112.0,110.0,91.0,82.0,93.0
219,49,8,161.0,141.0,126.0,90.0,134.0,100.0,150.0,71.0,117.0,93.0
221,49,9,136.0,141.0,180.0,115.0,134.0,100.0,155.0,96.0,37.0,93.0
222,50,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
223,50,2,116.0,111.0,121.0,121.0,134.0,95.0,145.0,116.0,122.0,123.0
224,50,3,116.0,111.0,121.0,121.0,134.0,96.0,180.0,116.0,122.0,123.0
225,50,4,126.0,126.0,121.0,121.0,134.0,96.0,180.0,106.0,122.0,108.0
226,50,5,141.0,141.0,161.0,131.0,134.0,80.0,90.0,91.0,82.0,93.0
227,50,6,141.0,141.0,161.0,45.0,134.0,112.0,40.0,91.0,82.0,93.0
228,50,7,141.0,141.0,161.0,75.0,134.0,112.0,110.0,91.0,82.0,93.0
229,50,8,161.0,141.0,126.0,90.0,134.0,100.0,150.0,71.0,117.0,93.0
231,50,9,136.0,141.0,140.0,90.0,134.0,100.0,155.0,96.0,70.0,93.0
232,51,1,116.0,111.0,121.0,121.0,134.0,90.0,90.0,116.0,122.0,123.0
